typeID,typeName,soloContracts,meanSoloPrice,medianSoloPrice,modeSoloPrice,minSoloPrice,maxSoloPrice,packageContracts,meanPackagePrice,medianPackagePrice,modePackagePrice,minPackagePrice,maxPackagePrice,meanMarketPrice,medianMarketPrice,modeMarketPrice,marketLiquidity,minMarketPrice,maxMarketPrice,minPrice,marketType,minPriceRegionID,minPriceRegionName
21819,Draclira's Modified Cap Recharger,0,,,,,,0,,,,,,10910000000,10910000000,10910000000,340,10910000000,10910000000,10910000000,market,10000002,The Forge
47645,Ragnarok Capsuleer Elite XV SKIN,0,,,,,,0,,,,,,3999000000,3999000000,3999000000,340,3999000000,3999000000,3999000000,market,10000002,The Forge
14802,Tairei's Modified Heat Sink,0,,,,,,0,,,,,,2650000000,2650000000,2650000000,340,2650000000,2650000000,2650000000,market,10000002,The Forge
46376,Raven Valkyrie SKIN,0,,,,,,0,,,,,,2500000000,2500000000,2500000000,340,2500000000,2500000000,2500000000,market,10000002,The Forge
28710,Golem,0,,,,,,0,,,,,,1998000000,1998000000,1998000000,340,1998000000,1998000000,1998000000,market,10000002,The Forge
56211,Women's 'Kybernaut Clade' T-Shirt,0,,,,,,0,,,,,,1600000000,1600000000,1600000000,340,1600000000,1600000000,1600000000,market,10000002,The Forge
60756,Barghest IGC SKIN,0,,,,,,0,,,,,,1500000000,1500000000,1500000000,340,1500000000,1500000000,1500000000,market,10000002,The Forge
52396,Megathron Triglavian Twilight SKIN,0,,,,,,0,,,,,,1495000000,1495000000,1495000000,340,1495000000,1495000000,1495000000,market,10000002,The Forge
28665,Vargur,0,,,,,,0,,,,,,1490000000,1490000000,1490000000,340,1490000000,1490000000,1490000000,market,10000002,The Forge
55826,Expert Cerebral Accelerator,0,,,,,,0,,,,,,1479000000,1479000000,1479000000,340,1479000000,1479000000,1479000000,market,10000002,The Forge
21022,Capital Power Generator Blueprint,0,,,,,,0,,,,,,1448000000,1448000000,1448000000,340,1448000000,1448000000,1448000000,market,10000002,The Forge
28661,Kronos,0,,,,,,0,,,,,,1395000000,1395000000,1395000000,340,1395000000,1395000000,1395000000,market,10000002,The Forge
33820,Barghest,0,,,,,,0,,,,,,1377000000,1377000000,1377000000,340,1377000000,1377000000,1377000000,market,10000002,The Forge
59334,Marshal Iceblade Guerilla SKIN,0,,,,,,0,,,,,,1300000000,1300000000,1300000000,340,1300000000,1300000000,1300000000,market,10000002,The Forge
57127,High-grade Rapture Epsilon,0,,,,,,0,,,,,,1296000000,1296000000,1296000000,340,1296000000,1296000000,1296000000,market,10000002,The Forge
60565,Flycatcher Malagrin Marshlight SKIN,0,,,,,,0,,,,,,1282000000,1282000000,1282000000,340,1282000000,1282000000,1282000000,market,10000002,The Forge
59333,Sin Iceblade Guerilla SKIN,0,,,,,,0,,,,,,1263000000,1263000000,1263000000,340,1263000000,1263000000,1263000000,market,10000002,The Forge
59332,Redeemer Iceblade Guerilla SKIN,0,,,,,,0,,,,,,1091000000,1030000000,1030000000,680,1030000000,1152000000,1030000000,market,10000002,The Forge
57734,Harpy GalNet StreamCast Unit SKIN,0,,,,,,0,,,,,,1000000000,1000000000,1000000000,340,1000000000,1000000000,1000000000,market,10000002,The Forge
52920,High-grade Mimesis Epsilon,0,,,,,,0,,,,,,998900000,998900000,998900000,1360,998900000,998900000,998900000,market,10000002,The Forge
14692,Kaikka's Modified Large Graviton Smartbomb,0,,,,,,0,,,,,,955000000,955000000,955000000,340,955000000,955000000,955000000,market,10000002,The Forge
52922,High-grade Mimesis Omega,0,,,,,,0,,,,,,956350000,937700000,937700000,2720,937700000,975000000,937700000,market,10000002,The Forge
60754,Garmur IGC SKIN,0,,,,,,0,,,,,,900000000,900000000,900000000,680,900000000,900000000,900000000,market,10000002,The Forge
54733,Thunderchild,0,,,,,,0,,,,,,946400000,993800000,899000000,680,899000000,993800000,899000000,market,10000002,The Forge
42591,Revelation Purity of the Throne SKIN,0,,,,,,0,,,,,,800000000,800000000,800000000,340,800000000,800000000,800000000,market,10000002,The Forge
57122,Mid-grade Rapture Omega,0,,,,,,0,,,,,,800000000,800000000,800000000,340,800000000,800000000,800000000,market,10000002,The Forge
48556,Vexor Navy Issue IGC SKIN,0,,,,,,0,,,,,,759900000,759900000,759900000,340,759900000,759900000,759900000,market,10000002,The Forge
4305,Oracle Blueprint,0,,,,,,0,,,,,,736000000,736000000,736000000,340,736000000,736000000,736000000,market,10000002,The Forge
18883,Centum A-Type Multispectrum Energized Membrane,0,,,,,,0,,,,,,721900000,721900000,721900000,340,721900000,721900000,721900000,market,10000002,The Forge
19206,Pith A-Type X-Large Shield Booster,0,,,,,,0,,,,,,720100000,720100000,720100000,680,720100000,720100000,720100000,market,10000002,The Forge
35832,Astrahus,0,,,,,,0,,,,,,698800000,698800000,698800000,1020,698800000,698800000,698800000,market,10000002,The Forge
56955,Obelisk Redclaw Sable SKIN,0,,,,,,0,,,,,,666600000,666600000,666600000,340,666600000,666600000,666600000,market,10000002,The Forge
41461,Dread Guristas Capital Shield Extender,0,,,,,,0,,,,,,657900000,657900000,657900000,680,657900000,657900000,657900000,market,10000002,The Forge
56885,Procurer Scope Syndication YC122 SKIN,0,,,,,,0,,,,,,648400000,648400000,648400000,340,648400000,648400000,648400000,market,10000002,The Forge
48147,Vindicator Sarpati's Revenge - Virge SKIN,0,,,,,,0,,,,,,620000000,620000000,620000000,340,620000000,620000000,620000000,market,10000002,The Forge
17726,Apocalypse Navy Issue,0,,,,,,0,,,,,,607400000,607400000,607400000,340,607400000,607400000,607400000,market,10000002,The Forge
3561,CONCORD Dual Giga Beam Laser,0,,,,,,0,,,,,,600000000,600000000,600000000,1020,600000000,600000000,600000000,market,10000002,The Forge
3224,Zainou 'Deadeye' Large Hybrid Turret LH-1006,0,,,,,,0,,,,,,569800000,569800000,569800000,3060,569800000,569800000,569800000,market,10000002,The Forge
56734,Tactical Capsuleer Recloner Blueprint,0,,,,,,0,,,,,,550328800,550328800,550328800,8500,550328800,550328800,550328800,market,10000002,The Forge
24313,Gallente Carrier,0,,,,,,0,,,,,,561000000,583000000,550000000,404940,550000000,583000000,550000000,market,10000002,The Forge
41500,Capital Armor Repairer II,0,,,,,,0,,,,,,535000000,535000000,535000000,340,535000000,535000000,535000000,market,10000002,The Forge
33836,Unit F-435454's Modified Omnidirectional Tracking Enhancer,0,,,,,,0,,,,,,508100000,508100000,508100000,340,508100000,508100000,508100000,market,10000002,The Forge
40330,Crucifier Navy Issue EoM SKIN,0,,,,,,0,,,,,,500000000,500000000,500000000,340,500000000,500000000,500000000,market,10000002,The Forge
44084,Standup L-Set Blueprint Copy Optimization I Blueprint,0,,,,,,0,,,,,,500000000,500000000,500000000,1020,500000000,500000000,500000000,market,10000002,The Forge
44096,Standup L-Set TE Research Optimization I Blueprint,0,,,,,,0,,,,,,500000000,500000000,500000000,5440,500000000,500000000,500000000,market,10000002,The Forge
34643,Typhoon Krusual SKIN,0,,,,,,0,,,,,,499500000,499500000,499500000,680,499500000,499500000,499500000,market,10000002,The Forge
47169,Sleipnir Bloody Hands SKIN,0,,,,,,0,,,,,,485000000,485000000,485000000,2040,485000000,485000000,485000000,market,10000002,The Forge
40633,Bosonic Field Generator,0,,,,,,0,,,,,,480000000,480000000,480000000,340,480000000,480000000,480000000,market,10000002,The Forge
56887,Raven Scope Syndication YC122 SKIN,0,,,,,,0,,,,,,479800000,479800000,479800000,340,479800000,479800000,479800000,market,10000002,The Forge
33818,Orthrus,0,,,,,,0,,,,,,464300000,464300000,464300000,1360,464300000,464300000,464300000,market,10000002,The Forge
56612,Orca Rockbreaker Pioneers SKIN,0,,,,,,0,,,,,,450000000,450000000,450000000,340,450000000,450000000,450000000,market,10000002,The Forge
52919,High-grade Mimesis Delta,0,,,,,,0,,,,,,447000000,447000000,447000000,1700,447000000,447000000,447000000,market,10000002,The Forge
19043,Corpus A-Type Large Armor Repairer,0,,,,,,0,,,,,,446700000,446700000,446700000,340,446700000,446700000,446700000,market,10000002,The Forge
